FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
ABILCH v SFA 22-Feb-2023,1,21,51,7,21,26,31,16,24,19,6,1,13,20
ABILCH v SFA 22-Feb-2023,2,24,45,8,14,19,26,8,33,14,6,5,20,28
TX ARL v ABILCH 16-Nov-2021,2,15,47,7,20,29,38,19,24,13,15,0,15,25
TX ARL v ABILCH 16-Nov-2021,1,18,37,6,14,17,24,9,32,16,8,7,28,30
ABILCH v OHIO 21-Mar-2022,1,21,36,8,18,25,29,4,25,18,10,2,11,32
ABILCH v OHIO 21-Mar-2022,2,19,30,7,23,27,40,11,23,10,5,2,14,23
KAN ST v ABILCH 06-Dec-2022,2,18,36,7,19,7,12,7,19,14,6,2,13,21
KAN ST v ABILCH 06-Dec-2022,1,28,41,3,12,16,29,10,26,23,7,3,12,13
LAMAR v ABILCH 29-Jan-2022,2,19,39,7,24,26,39,16,26,14,6,1,9,21
LAMAR v ABILCH 29-Jan-2022,1,20,44,7,16,21,27,10,28,18,5,4,13,30
UTRGV v ABILCH 26-Jan-2022,2,21,36,7,30,24,30,14,15,20,12,2,13,28
UTRGV v ABILCH 26-Jan-2022,1,21,30,6,16,25,32,8,28,14,4,6,27,27
ABILCH v CSUBAK 15-Dec-2021,1,12,27,5,17,30,40,9,22,11,14,3,20,22
ABILCH v CSUBAK 15-Dec-2021,2,18,45,4,11,11,20,13,24,6,9,2,25,30
DIXST v ABILCH 01-Jan-2022,2,18,41,4,20,16,24,11,24,10,15,3,13,23
DIXST v ABILCH 01-Jan-2022,1,12,25,2,18,20,27,9,34,10,6,5,27,29
SFA v ABILCH 26-Feb-2022,2,15,35,6,19,23,27,12,18,13,5,1,11,19
SFA v ABILCH 26-Feb-2022,1,24,41,4,11,13,23,14,25,12,5,6,17,25
ABILCH v CHI ST 02-Feb-2022,1,24,38,3,14,20,24,5,17,14,14,2,12,22
ABILCH v CHI ST 02-Feb-2022,2,14,23,11,23,12,18,6,19,11,3,3,22,22
UTAH v ABILCH 09-Nov-2021,2,18,36,4,21,8,17,8,21,11,9,6,12,24
UTAH v ABILCH 09-Nov-2021,1,17,39,7,23,15,23,22,34,12,5,3,20,22
ABILCH v INCWRD 04-Dec-2021,1,24,42,12,24,14,20,10,24,17,10,0,8,21
