FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
CITDEL v VMI 15-Jan-2022,2,21,36,9,26,21,27,9,33,14,3,5,12,18
CITDEL v C OF C 03-Dec-2022,2,18,33,9,36,16,22,17,37,12,2,6,8,22
CITDEL v C OF C 03-Dec-2022,1,18,43,2,14,15,23,4,30,6,5,2,8,20
CITDEL v IUPUI 25-Nov-2022,1,19,34,8,27,12,12,15,28,14,6,1,14,13
CITDEL v IUPUI 25-Nov-2022,2,11,31,7,22,10,14,8,19,10,7,1,14,15
CITDEL v VMI 02-Feb-2023,1,11,26,13,32,8,11,5,26,15,2,1,4,11
CITDEL v VMI 02-Feb-2023,2,18,31,10,34,9,11,12,29,12,3,2,2,9
CITDEL v CHAT 29-Dec-2022,2,9,26,14,39,8,10,15,19,19,11,7,10,21
CITDEL v CHAT 29-Dec-2022,1,15,30,9,22,19,22,9,29,14,4,5,13,14
CITDEL v MERCER 28-Jan-2023,1,18,37,6,19,11,16,3,19,8,3,0,5,21
CITDEL v MERCER 28-Jan-2023,2,23,41,3,13,19,29,11,32,12,3,2,6,20
CITDEL v ETSU 19-Feb-2022,1,10,27,13,32,8,13,12,27,16,1,3,13,17
CITDEL v ETSU 19-Feb-2022,2,22,41,5,27,18,20,16,27,8,8,4,6,16
CITDEL v WOFFRD 16-Feb-2022,1,6,15,9,29,19,23,3,27,14,4,4,16,14
CITDEL v WOFFRD 16-Feb-2022,2,14,28,8,26,13,13,5,28,13,10,2,13,17
CITDEL v MANHAT 21-Dec-2021,1,18,33,8,27,14,18,11,21,18,7,3,14,22
CITDEL v MANHAT 21-Dec-2021,2,14,36,9,19,22,30,14,26,10,4,4,15,19
SAMFRD v CITDEL 11-Feb-2023,2,17,28,9,22,9,11,4,25,11,9,2,22,22
SAMFRD v CITDEL 11-Feb-2023,1,19,30,6,22,20,29,7,21,8,13,2,15,14
CHARSO v CITDEL 30-Nov-2022,1,20,33,7,27,12,20,11,24,9,3,5,10,23
CHARSO v CITDEL 30-Nov-2022,2,16,32,7,17,23,29,4,27,9,3,2,8,18
CITDEL v SAMFRD 05-Feb-2022,1,21,31,17,33,14,20,7,23,28,7,1,9,15
CITDEL v SAMFRD 05-Feb-2022,2,28,40,10,24,7,13,5,22,15,7,3,13,18
PITT v CITDEL 09-Nov-2021,2,16,27,13,36,7,11,9,30,18,5,2,10,23
PITT v CITDEL 09-Nov-2021,1,21,43,2,17,15,31,16,27,14,6,2,8,16
UNC v CITDEL 13-Dec-2022,2,21,45,8,27,1,5,9,22,12,7,2,12,18
UNC v CITDEL 13-Dec-2022,1,17,34,15,31,21,27,13,34,24,9,5,12,11
ETSU v CITDEL 04-Mar-2022,2,18,37,9,23,21,28,9,32,16,4,2,9,15
ETSU v CITDEL 04-Mar-2022,1,27,49,5,27,7,12,13,29,9,5,3,7,23
FURMAN v CITDEL 02-Feb-2022,2,11,28,15,32,16,19,12,26,16,5,5,17,13
FURMAN v CITDEL 02-Feb-2022,1,23,39,16,32,8,12,8,24,22,12,5,8,16
CITDEL v MERCER 17-Jan-2022,1,16,34,5,24,17,23,8,28,8,12,6,11,14
CITDEL v MERCER 17-Jan-2022,2,17,32,8,22,13,20,5,32,16,6,6,16,17
CLE ST v ARK PB 18-Nov-2022,2,14,35,4,21,18,25,13,24,9,6,3,12,23
CLE ST v ARK PB 18-Nov-2022,1,13,30,8,23,17,21,10,30,11,5,3,17,21
ROBMOR v CLE ST 31-Dec-2022,2,19,42,4,11,13,17,5,26,7,11,3,9,18
ROBMOR v CLE ST 31-Dec-2022,1,18,34,3,16,9,16,7,28,9,1,5,17,16
CLE ST v WRIGHT 04-Dec-2021,1,23,40,9,18,12,18,7,27,22,10,3,13,21
CLE ST v WRIGHT 04-Dec-2021,2,18,38,7,21,18,22,11,21,14,3,4,15,15
CLE ST v GRNBAY 07-Jan-2023,1,25,50,5,10,17,21,8,20,11,8,2,4,22
CLE ST v GRNBAY 07-Jan-2023,2,14,24,11,24,16,23,7,24,18,3,2,13,17
CLE ST v N KY 19-Feb-2023,1,20,43,6,18,6,11,17,25,18,3,3,13,13
CLE ST v N KY 19-Feb-2023,2,17,36,7,21,8,12,11,20,11,11,4,8,16
ROBMOR v CLE ST 07-Jan-2022,2,17,33,6,16,26,31,8,16,14,6,7,14,18
ROBMOR v CLE ST 07-Jan-2022,1,25,40,4,13,15,20,11,20,12,7,4,20,21
CLE ST v IPFW 27-Jan-2023,1,26,39,6,16,9,10,10,21,17,6,7,13,10
CLE ST v IPFW 27-Jan-2023,2,19,35,10,29,6,9,16,13,12,3,1,11,16
OAK v CLE ST 26-Feb-2022,2,17,33,4,18,11,16,12,25,14,9,0,18,19
OAK v CLE ST 26-Feb-2022,1,14,28,6,27,19,22,12,20,8,14,3,12,12
CLE ST v OAK 13-Jan-2022,1,23,38,5,26,4,12,16,26,21,5,6,13,19
CLE ST v OAK 13-Jan-2022,2,18,39,7,23,13,16,11,23,14,9,3,11,13
CLE ST v ROBMOR 03-Mar-2022,1,26,43,6,16,13,15,10,20,18,9,2,10,13
CLE ST v ROBMOR 03-Mar-2022,2,20,29,5,21,12,17,8,17,15,5,6,18,14
CLE ST v WRIGHT 17-Feb-2023,1,31,52,4,14,11,19,17,29,15,10,5,15,14
CLE ST v WRIGHT 17-Feb-2023,2,17,42,9,20,7,11,9,19,11,11,5,13,16
CLE ST v MILWKE 06-Feb-2022,1,22,37,7,22,19,22,8,30,19,4,6,8,18
CLE ST v MILWKE 06-Feb-2022,2,17,40,6,24,19,21,12,24,9,2,3,7,19
GRNBAY v CLE ST 23-Feb-2023,2,28,50,5,16,5,8,12,26,23,6,5,9,16
GRNBAY v CLE ST 23-Feb-2023,1,12,31,10,26,11,15,10,22,12,3,4,12,12
CLE ST v OAK 01-Dec-2022,1,27,53,5,22,11,16,26,27,17,6,3,9,17
CLE ST v OAK 01-Dec-2022,2,17,33,4,22,18,24,10,20,10,4,3,11,13
N KY v CLE ST 30-Jan-2022,2,23,38,6,19,8,10,7,21,19,7,2,9,18
N KY v CLE ST 30-Jan-2022,1,15,30,11,31,15,18,17,20,19,7,1,11,11
N KY v CLE ST 19-Jan-2023,2,18,41,1,10,17,30,19,20,9,16,1,17,14
N KY v CLE ST 19-Jan-2023,1,11,24,9,22,8,15,10,18,15,10,5,22,20
IUPUI v CLE ST 14-Jan-2023,2,24,41,10,20,11,11,9,26,17,10,3,10,16
IUPUI v CLE ST 14-Jan-2023,1,18,33,4,22,6,10,11,18,13,5,2,19,14
CLE ST v YSU 12-Feb-2023,1,24,46,4,12,21,31,13,29,9,5,5,12,15
CLE ST v YSU 12-Feb-2023,2,25,48,6,24,10,16,16,23,10,6,1,9,22
W MICH v CLE ST 26-Nov-2022,2,18,35,10,23,5,5,10,24,18,7,1,11,16
W MICH v CLE ST 26-Nov-2022,1,15,29,4,22,7,14,12,20,10,5,2,15,9
XAVIER v CLE ST 15-Mar-2022,2,26,48,1,12,13,19,13,29,13,9,3,17,23
XAVIER v CLE ST 15-Mar-2022,1,17,36,7,26,17,23,13,24,17,16,8,12,17
CLE ST v IUPUI 12-Feb-2022,1,19,42,12,27,9,14,18,23,24,15,1,9,14
CLE ST v IUPUI 12-Feb-2022,2,12,33,3,22,12,15,18,21,10,4,6,24,9
CLEM v WOFFRD 12-Nov-2021,1,14,28,9,21,21,29,11,26,11,8,4,19,21
CLEM v WOFFRD 12-Nov-2021,2,16,35,5,23,21,24,12,19,8,6,1,14,26
DUKE v CLEM 25-Jan-2022,2,18,45,11,26,0,1,14,25,19,9,1,10,13
DUKE v CLEM 25-Jan-2022,1,15,32,10,20,11,13,3,28,18,4,4,12,10
CLEM v WAKE 23-Feb-2022,1,21,36,8,18,14,19,6,24,18,7,1,11,16
CLEM v WAKE 23-Feb-2022,2,16,29,9,32,10,14,13,23,13,4,3,12,18
CLEM v DRAKE 11-Dec-2021,1,17,34,11,26,23,27,12,26,17,7,1,10,17
CLEM v DRAKE 11-Dec-2021,2,17,29,11,31,13,16,7,20,15,5,2,10,22
LOUIS v CLEM 18-Feb-2023,2,25,43,4,24,11,15,8,18,12,7,2,5,22
LOUIS v CLEM 18-Feb-2023,1,21,35,5,16,26,28,6,31,9,3,4,14,13
CLEM v WAKE 02-Dec-2022,1,13,21,9,22,24,25,2,36,15,5,2,19,16
CLEM v WAKE 02-Dec-2022,2,12,31,8,28,9,14,5,19,8,9,1,11,17
CLEM v VT 05-Mar-2022,1,13,28,8,20,13,16,6,23,13,8,1,12,16
CLEM v VT 05-Mar-2022,2,10,21,9,30,12,13,9,22,9,5,4,13,16
CLEM v GATECH 02-Mar-2022,1,22,32,6,21,6,7,2,26,13,8,5,13,11
CLEM v GATECH 02-Mar-2022,2,18,34,7,22,8,11,7,24,15,5,1,12,12
CLEM v PITT 22-Jan-2022,1,10,21,12,25,19,26,5,23,19,7,3,9,14
CLEM v PITT 22-Jan-2022,2,9,25,7,23,9,13,11,22,7,5,5,20,20
CLEM v NC ST 08-Mar-2022,1,19,37,6,23,14,23,11,35,10,4,4,10,20
CLEM v NC ST 08-Mar-2022,2,18,40,4,23,16,22,10,31,13,6,3,7,20
CLEM v S CAR 18-Dec-2021,1,16,41,5,22,23,31,19,32,10,5,5,14,18
CLEM v S CAR 18-Dec-2021,2,13,35,5,20,15,20,8,27,4,2,7,15,28
MIAMI v CLEM 04-Dec-2021,2,18,35,9,21,12,14,13,26,16,5,0,18,18
MIAMI v CLEM 04-Dec-2021,1,16,30,11,25,15,17,4,17,18,7,6,8,14
UNC v CLEM 11-Feb-2023,2,17,33,7,20,16,18,5,26,11,3,2,13,18
UNC v CLEM 11-Feb-2023,1,17,34,15,33,12,15,11,23,17,4,1,7,17
CLEM v LOY MD 21-Nov-2022,1,19,35,8,21,10,12,9,32,16,9,4,15,9
CLEM v LOY MD 21-Nov-2022,2,9,28,6,24,5,8,7,20,8,9,2,18,14
CLEM v BC 15-Jan-2022,2,22,38,6,19,8,15,4,28,8,6,7,11,14
CLEM v BC 15-Jan-2022,1,21,40,6,19,8,14,8,29,10,8,2,12,14
NC ST v CLEM 08-Jan-2022,2,25,47,3,10,11,13,7,29,10,9,5,16,17
NC ST v CLEM 08-Jan-2022,1,10,32,9,28,18,23,13,23,8,12,2,15,18
VT v CLEM 09-Mar-2022,2,20,37,8,23,11,16,6,23,16,7,2,7,16
VT v CLEM 09-Mar-2022,1,14,27,12,28,12,20,8,28,14,3,5,14,19
CLEM v PENNST 29-Nov-2022,1,21,42,11,21,26,37,6,31,22,2,5,10,22
CLEM v PENNST 29-Nov-2022,2,18,35,11,36,25,29,12,31,12,5,2,11,28
S CAR v CLEM 11-Nov-2022,2,16,43,7,18,5,9,9,23,13,9,4,13,17
S CAR v CLEM 11-Nov-2022,1,12,38,10,26,6,13,19,31,12,6,4,19,15
CLEM v LOYCHI 10-Dec-2022,1,18,33,3,21,13,16,7,21,6,9,2,14,17
CLEM v LOYCHI 10-Dec-2022,2,15,24,12,24,10,12,1,26,18,6,4,18,19
CLEM v BELLAR 18-Nov-2022,2,12,27,9,22,15,20,6,18,12,3,0,11,19
CLEM v BELLAR 18-Nov-2022,1,9,19,13,28,19,22,5,22,14,5,3,9,19
FSU v CLEM 15-Feb-2022,2,16,30,6,27,30,36,14,27,14,5,2,10,24
FSU v CLEM 15-Feb-2022,1,16,36,8,19,25,30,7,22,14,5,6,8,22
CLEM v IOWA 25-Nov-2022,1,18,38,8,26,11,13,10,22,11,4,0,10,23
CLEM v IOWA 25-Nov-2022,2,19,41,4,19,24,30,17,29,12,6,3,9,17
GA ST v CO CAR 14-Jan-2023,2,15,35,5,22,21,27,14,11,7,7,2,11,15
GA ST v CO CAR 14-Jan-2023,1,21,30,16,28,10,15,7,23,26,5,4,12,18
CO CAR v JMU 11-Feb-2023,1,18,38,7,28,9,11,11,33,10,9,3,15,16
CO CAR v JMU 11-Feb-2023,2,18,40,8,25,13,19,12,30,16,6,3,14,10
GA SOU v CO CAR 22-Feb-2023,2,15,27,8,34,14,14,8,20,12,7,3,6,15
GA SOU v CO CAR 22-Feb-2023,1,10,22,14,29,14,19,8,30,18,4,3,13,11
CO CAR v FGCU 21-Mar-2022,1,28,51,5,19,13,17,14,32,18,10,2,14,12
CO CAR v FGCU 21-Mar-2022,2,14,24,11,34,7,14,5,26,9,7,2,17,18
CO CAR v ODU 28-Jan-2023,1,11,29,7,29,16,26,12,31,8,7,3,7,18
CO CAR v ODU 28-Jan-2023,2,14,32,6,28,14,21,15,34,9,4,4,11,21
S ALA v CO CAR 28-Mar-2022,2,19,35,9,24,4,6,3,30,15,6,4,15,13
S ALA v CO CAR 28-Mar-2022,1,18,40,9,26,5,10,10,29,16,9,5,14,9
CO CAR v WOFFRD 12-Dec-2021,1,20,37,4,13,8,14,11,27,12,4,6,15,16
CO CAR v WOFFRD 12-Dec-2021,2,6,17,13,36,8,11,8,21,15,3,2,12,19
CO CAR v GA SOU 03-Mar-2022,1,17,44,5,14,15,25,16,25,7,6,1,9,15
CO CAR v GA SOU 03-Mar-2022,2,16,30,9,23,11,18,7,27,13,5,5,9,18
SC UPS v CO CAR 18-Nov-2022,2,25,42,3,15,19,22,13,27,7,5,3,13,18
SC UPS v CO CAR 18-Nov-2022,1,23,46,9,18,6,15,11,17,19,7,2,7,22
UNCW v CO CAR 18-Nov-2021,2,16,41,3,15,12,23,11,33,8,5,5,14,18
UNCW v CO CAR 18-Nov-2021,1,15,31,7,27,14,22,9,32,12,9,5,10,19
CO CAR v APP ST 19-Jan-2023,2,15,33,12,30,18,22,12,19,16,8,2,12,12
CO CAR v APP ST 19-Jan-2023,1,23,40,13,22,8,13,9,24,24,5,2,14,16
CO CAR v UMES 16-Mar-2022,1,16,31,9,26,7,13,7,37,15,6,6,17,11
CO CAR v UMES 16-Mar-2022,2,9,26,7,34,3,8,9,29,10,8,2,17,15
MIDTEN v CO CAR 19-Dec-2021,2,15,35,13,25,11,16,17,20,16,8,3,16,17
MIDTEN v CO CAR 19-Dec-2021,1,15,26,12,33,18,23,14,19,14,9,1,12,15
CO CAR v GA ST 10-Feb-2022,1,9,33,7,26,11,17,17,25,8,7,2,17,19
CO CAR v GA ST 10-Feb-2022,2,11,26,8,29,15,23,15,29,13,8,4,15,14
CO CAR v SO DAK 26-Nov-2022,1,18,40,6,16,12,16,14,26,10,7,3,8,13
CO CAR v SO DAK 26-Nov-2022,2,13,31,10,27,3,8,13,20,9,4,0,9,17
UALR v CO CAR 25-Feb-2022,2,15,33,9,24,11,16,11,25,15,6,1,14,21
UALR v CO CAR 25-Feb-2022,1,13,29,6,20,11,20,8,26,9,8,3,18,18
TOLEDO v CO CAR 24-Nov-2021,2,20,35,8,28,6,8,11,24,17,5,3,14,19
TOLEDO v CO CAR 24-Nov-2021,1,19,38,9,26,14,18,13,25,15,7,2,9,11
VALPO v CO CAR 23-Nov-2021,2,23,51,4,19,6,12,15,27,12,5,4,7,9
VALPO v CO CAR 23-Nov-2021,1,14,29,9,28,6,9,6,30,10,5,4,12,10
WOFFRD v CO CAR 06-Dec-2022,2,22,41,4,25,5,6,11,23,7,5,6,10,15
WOFFRD v CO CAR 06-Dec-2022,1,23,36,5,26,10,12,11,28,9,3,2,13,11
CO CAR v MARSH 09-Feb-2023,1,18,38,7,25,17,23,11,28,13,5,2,14,9
CO CAR v MARSH 09-Feb-2023,2,23,37,13,40,7,11,14,27,21,7,5,9,17
MARSH v CO CAR 07-Jan-2023,2,16,40,10,30,4,7,14,24,14,6,0,14,21
MARSH v CO CAR 07-Jan-2023,1,21,39,7,28,18,26,20,33,16,7,5,13,12
CO CAR v GA SOU 31-Dec-2022,1,21,41,6,18,4,8,7,24,15,3,2,11,15
CO CAR v GA SOU 31-Dec-2022,2,17,36,9,24,12,16,12,27,12,4,2,9,13
CO ST v UALR 01-Dec-2021,1,25,36,8,23,12,12,4,28,24,13,5,9,15
CO ST v UALR 01-Dec-2021,2,17,39,3,13,12,15,6,22,6,4,1,18,16
CO ST v NEVADA 25-Jan-2022,1,19,32,8,23,15,20,7,24,16,3,1,10,13
CO ST v NEVADA 25-Jan-2022,2,16,23,8,28,10,14,4,25,12,8,3,14,19
SDSU v CO ST 21-Feb-2023,2,21,36,3,14,7,9,8,18,9,5,1,16,18
SDSU v CO ST 21-Feb-2023,1,20,33,6,21,19,23,10,19,13,9,3,9,8
UNLV v CO ST 19-Feb-2022,2,13,30,5,22,10,14,5,19,8,4,1,7,17
UNLV v CO ST 19-Feb-2022,1,14,27,9,24,17,24,13,32,10,4,3,12,18
N MEX v CO ST 28-Dec-2022,2,21,35,6,21,9,13,6,23,15,6,2,14,19
N MEX v CO ST 28-Dec-2022,1,15,35,15,25,13,18,10,24,17,9,1,10,16
CO ST v SE LA 11-Nov-2022,1,18,28,8,21,20,27,8,30,20,4,2,10,16
CO ST v SE LA 11-Nov-2022,2,13,32,12,27,7,10,6,19,11,6,0,10,25
NOEAST v CO ST 22-Nov-2021,2,19,31,4,19,21,27,5,26,12,6,0,9,11
NOEAST v CO ST 22-Nov-2021,1,15,31,7,25,10,15,9,24,10,6,2,12,24
CO ST v FRESNO 07-Jan-2023,1,15,24,14,29,7,11,2,25,26,5,2,6,16
CO ST v FRESNO 07-Jan-2023,2,11,26,8,23,11,15,8,25,15,0,1,13,11
CO ST v PENNST 20-Nov-2022,1,15,34,6,30,8,10,11,31,13,4,1,9,15
CO ST v PENNST 20-Nov-2022,2,14,27,9,28,13,17,3,32,7,3,1,8,13
BOISE v CO ST 28-Jan-2023,1,18,25,11,24,11,13,1,24,19,2,2,8,15
BOISE v CO ST 28-Jan-2023,2,19,34,4,22,9,15,10,20,10,4,0,8,10
SJSU v CO ST 15-Jan-2022,2,22,40,9,27,7,9,12,37,17,8,1,5,12
SJSU v CO ST 15-Jan-2022,1,8,22,7,32,5,9,5,26,7,3,4,13,13
CO ST v SDSU 18-Jan-2023,1,15,28,11,29,13,15,7,25,19,7,8,14,23
CO ST v SDSU 18-Jan-2023,2,22,45,7,19,17,25,14,24,17,10,4,10,17
CO ST v MS VAL 26-Nov-2022,1,15,23,10,27,28,38,8,28,16,14,4,13,13
CO ST v MS VAL 26-Nov-2022,2,11,32,5,17,8,12,8,21,9,7,4,25,29
CO ST v STMARY 04-Dec-2021,1,19,37,9,16,9,13,2,22,13,9,3,11,19
CO ST v STMARY 04-Dec-2021,2,17,30,4,21,12,15,7,23,8,7,4,15,18
CO ST v ORU 09-Nov-2021,1,32,49,11,24,12,14,8,37,20,4,9,5,12
CO ST v ORU 09-Nov-2021,2,19,38,12,40,6,9,12,24,12,3,3,5,13
COLO v CO ST 08-Dec-2022,2,13,31,9,21,12,17,4,19,9,6,2,13,14
COLO v CO ST 08-Dec-2022,1,28,41,10,26,7,11,13,29,16,9,5,8,17
CO ST v MICH 17-Mar-2022,1,11,30,12,35,5,7,9,16,16,10,0,11,19
CO ST v MICH 17-Mar-2022,2,22,34,4,14,19,22,6,30,15,5,4,15,11
CO ST v WEB ST 14-Nov-2022,1,18,32,11,22,8,15,2,31,20,10,3,9,13
CO ST v WEB ST 14-Nov-2022,2,13,28,6,28,8,12,9,27,8,6,4,15,14
S CAR v CO ST 17-Nov-2022,2,29,40,6,20,9,15,5,35,18,7,2,8,16
S CAR v CO ST 17-Nov-2022,1,11,35,8,26,7,9,9,25,11,3,2,16,19
NEVADA v CO ST 08-Feb-2022,2,15,27,10,22,22,27,4,23,16,6,2,8,15
NEVADA v CO ST 08-Feb-2022,1,18,25,9,24,9,13,1,22,16,3,4,14,23
CO ST v SJSU 31-Dec-2022,1,17,37,7,23,15,18,4,23,20,5,4,2,16
CO ST v SJSU 31-Dec-2022,2,13,30,13,27,13,18,11,31,10,0,8,11,17
NEVADA v CO ST 04-Jan-2023,2,15,23,10,28,9,13,7,14,16,6,2,15,19
NEVADA v CO ST 04-Jan-2023,1,19,25,7,20,21,23,7,22,15,7,2,14,17
COLGAT v NAVY 05-Jan-2023,1,23,42,9,16,14,23,7,24,19,8,4,8,13
COLGAT v NAVY 05-Jan-2023,2,14,32,13,27,6,6,8,26,16,6,3,14,18
COLGAT v NAVY 26-Feb-2022,1,8,23,12,29,22,31,7,29,17,6,1,9,20
COLGAT v NAVY 26-Feb-2022,2,18,40,8,18,9,20,10,29,19,9,5,13,26
AUBURN v COLGAT 02-Dec-2022,1,27,45,10,22,9,16,13,26,14,10,8,8,17
AUBURN v COLGAT 02-Dec-2022,2,17,39,8,18,8,19,11,22,11,6,3,12,15
PITT v COLGAT 09-Dec-2021,2,16,30,6,23,18,23,10,18,13,5,1,12,21
PITT v COLGAT 09-Dec-2021,1,20,40,4,15,19,27,12,23,10,5,8,11,20
PENN v COLGAT 26-Nov-2022,2,24,40,4,16,9,14,8,14,11,9,0,14,11
PENN v COLGAT 26-Nov-2022,1,21,29,11,24,6,7,6,23,18,9,3,19,16
COLGAT v NOEAST 09-Nov-2021,1,14,33,8,23,13,16,4,28,14,6,2,8,18
COLGAT v NOEAST 09-Nov-2021,2,17,36,3,14,15,21,7,32,10,3,1,16,20
BUFF v COLGAT 07-Nov-2022,1,29,44,6,21,12,20,3,21,16,13,4,14,22
BUFF v COLGAT 07-Nov-2022,2,25,42,5,14,22,31,3,31,18,7,2,19,17
SYR v COLGAT 15-Nov-2022,2,9,21,19,39,5,7,11,27,24,8,1,15,14
SYR v COLGAT 15-Nov-2022,1,16,38,8,25,12,15,14,23,9,8,6,13,9
BU v COLGAT 23-Jan-2023,1,14,40,4,25,11,14,18,22,7,6,4,12,16
BU v COLGAT 23-Jan-2023,2,19,33,6,17,8,10,5,30,14,9,7,13,9
DUQSNE v COLGAT 18-Nov-2022,2,17,37,10,25,16,18,12,24,20,7,1,13,18
DUQSNE v COLGAT 18-Nov-2022,1,20,37,11,24,12,20,11,23,15,11,5,14,16
COLGAT v NIAGRA 29-Nov-2021,1,14,37,7,26,10,15,16,24,16,5,2,11,15
COLGAT v NIAGRA 29-Nov-2021,2,21,34,7,17,7,12,2,29,15,9,5,9,13
BROWN v COLGAT 10-Nov-2022,1,23,48,5,18,7,12,10,20,14,10,2,10,12
BROWN v COLGAT 10-Nov-2022,2,26,35,7,22,4,6,6,31,16,5,2,16,8
NAVY v COLGAT 13-Jan-2022,2,27,39,3,20,6,11,10,32,14,9,3,10,11
NAVY v COLGAT 13-Jan-2022,1,11,43,8,15,4,5,8,23,13,4,2,12,16
ARMY v COLGAT 16-Feb-2022,1,20,34,12,24,14,24,9,19,16,8,1,12,17
ARMY v COLGAT 16-Feb-2022,2,18,28,15,31,19,22,8,23,24,7,3,10,18
CORN v COLGAT 16-Nov-2021,2,23,43,6,32,4,9,14,27,13,7,9,12,24
CORN v COLGAT 16-Nov-2021,1,23,42,6,25,14,22,15,35,17,6,3,13,17
COLGAT v BU 19-Feb-2022,2,17,33,3,17,10,19,6,30,7,3,2,13,17
COLGAT v BU 19-Feb-2022,1,15,32,10,26,12,16,5,30,15,7,3,5,19
LAFAYE v COLGAT 31-Jan-2022,2,12,32,10,22,18,21,11,31,13,2,0,14,13
LAFAYE v COLGAT 31-Jan-2022,1,16,33,8,26,5,10,8,23,16,6,5,9,14
VERMNT v COLGAT 22-Dec-2021,2,20,38,6,20,10,19,5,28,11,7,4,9,15
VERMNT v COLGAT 22-Dec-2021,1,14,27,12,32,14,17,7,31,15,3,3,9,16
COLGAT v LAFAYE 28-Jan-2023,1,18,35,7,21,12,19,11,27,17,5,2,7,9
COLGAT v LAFAYE 28-Jan-2023,2,18,37,6,24,3,5,11,24,15,4,4,11,16
LOY MD v COLGAT 12-Feb-2022,2,10,23,9,32,17,27,14,25,14,6,5,13,12
LOY MD v COLGAT 12-Feb-2022,1,15,37,6,26,8,13,17,28,11,6,3,14,20
COLGAT v LAFAYE 14-Feb-2022,1,26,42,5,16,2,9,10,28,17,2,4,10,8
COLGAT v LAFAYE 14-Feb-2022,2,20,34,7,23,0,3,4,22,17,4,0,7,13
COLGAT v HOLYCR 07-Feb-2022,1,21,36,13,23,6,8,7,33,24,4,0,15,16
COLGAT v HOLYCR 07-Feb-2022,2,16,28,7,29,7,13,4,20,12,8,1,12,16
LEHIGH v COLGAT 02-Jan-2023,2,24,43,6,16,10,11,5,30,10,3,3,8,13
LEHIGH v COLGAT 02-Jan-2023,1,17,33,6,20,8,10,2,25,9,3,0,12,14
COLGAT v COLUMB 06-Dec-2021,1,13,29,18,31,9,10,5,24,23,12,4,10,15
COLGAT v COLUMB 06-Dec-2021,2,18,39,6,22,7,10,14,25,14,4,2,19,9
COLO v N MEX 13-Nov-2021,1,21,40,7,17,24,33,15,32,14,7,4,18,21
COLO v N MEX 13-Nov-2021,2,20,39,6,23,18,22,8,19,7,12,2,13,27
STAN v COLO 29-Dec-2022,2,21,40,6,16,13,18,10,23,11,5,2,16,19
STAN v COLO 29-Dec-2022,1,15,33,6,18,22,26,10,20,8,10,5,14,18
COLO v SIU 19-Nov-2021,1,21,36,4,14,9,15,7,20,11,3,3,11,16
COLO v SIU 19-Nov-2021,2,10,20,12,29,11,16,8,19,11,1,0,11,18
OREGN v COLO 26-Jan-2023,2,16,44,8,21,13,14,12,22,11,10,2,11,17
OREGN v COLO 26-Jan-2023,1,19,34,7,19,16,20,9,29,13,5,8,18,13
COLO v E WASH 08-Dec-2021,1,20,36,4,20,8,12,13,27,13,5,1,14,10
COLO v E WASH 08-Dec-2021,2,15,29,7,26,6,7,6,22,13,5,1,12,18
COLO v S UTAH 21-Dec-2022,1,28,49,3,17,21,32,12,30,14,12,4,7,12
COLO v S UTAH 21-Dec-2022,2,15,37,12,29,12,13,9,28,11,3,5,15,22
COLO v AZ ST 01-Dec-2022,2,19,35,5,26,7,13,8,26,16,14,3,10,20
COLO v AZ ST 01-Dec-2022,1,10,27,10,26,9,17,13,34,15,5,6,20,15
COLO v CSUBAK 18-Dec-2021,1,12,28,7,17,15,19,7,33,16,6,4,14,16
COLO v CSUBAK 18-Dec-2021,2,13,41,2,14,14,19,11,23,4,10,4,11,18
USC v COLO 12-Jan-2023,2,19,41,5,17,8,11,15,29,15,6,4,22,16
USC v COLO 12-Jan-2023,1,22,45,4,16,12,17,8,21,16,12,9,9,13
COLO v USC 23-Feb-2023,1,18,38,6,28,11,15,10,23,12,8,6,6,16
COLO v USC 23-Feb-2023,2,25,39,8,19,10,17,6,35,12,5,4,9,13
COLO v MAINE 15-Nov-2021,1,24,43,7,14,21,30,12,33,15,12,3,10,16
COLO v MAINE 15-Nov-2021,2,11,28,5,21,9,15,4,19,9,6,2,17,24
ORE ST v COLO 28-Jan-2023,2,14,36,7,24,3,7,15,22,10,6,3,13,18
ORE ST v COLO 28-Jan-2023,1,11,29,7,18,17,22,11,25,10,6,7,13,13
COLO v YALE 27-Nov-2022,1,21,41,4,18,11,16,8,25,10,8,5,8,8
COLO v YALE 27-Nov-2022,2,20,40,7,20,1,1,7,30,9,6,4,14,17
OREGN v COLO 25-Jan-2022,2,19,39,8,15,20,22,8,22,17,8,2,17,13
OREGN v COLO 25-Jan-2022,1,21,40,7,20,15,19,6,16,11,10,0,11,17
COLO v WASH 09-Jan-2022,1,23,44,8,20,8,12,11,36,13,3,6,14,14
COLO v WASH 09-Jan-2022,2,11,35,10,23,12,16,3,24,11,10,3,10,15
COLO v TENN 04-Dec-2021,1,15,38,4,17,12,19,10,27,10,3,1,15,13
COLO v TENN 04-Dec-2021,2,23,37,6,24,5,9,6,28,11,9,8,11,19
UCLA v COLO 01-Dec-2021,2,18,33,5,21,10,15,6,23,11,1,2,12,18
UCLA v COLO 01-Dec-2021,1,20,42,7,16,12,18,10,26,15,4,2,9,18
COLO v N COLO 18-Dec-2022,1,27,47,8,15,10,15,9,29,16,4,6,11,15
