FixtureKey,TipOff,GameType,IsNeutralSite,Attendance,Season,Team1Conference,Team2Conference
E MICH v ILL ST 12-Nov-2021,18:00,RegularSeason,0,1905,2022,MAC,MVC
E WASH v PORTST 05-Jan-2023,21:00,RegularSeason,0,587,2023,Big Sky,Big Sky
PORTST v E WASH 04-Feb-2023,22:00,RegularSeason,0,1187,2023,Big Sky,Big Sky
STCLAR v E WASH 07-Nov-2022,22:00,RegularSeason,0,1655,2023,WCC,Big Sky
IDAHO v E WASH 19-Feb-2022,18:30,RegularSeason,0,2230,2022,Big Sky,Big Sky
E WASH v MONT 06-Jan-2022,21:00,RegularSeason,0,1140,2022,Big Sky,Big Sky
E WASH v STONY 25-Nov-2022,17:30,RegularSeason,1,35,2023,Big Sky,CAA
E WASH v MONTST 17-Feb-2022,21:00,RegularSeason,0,1216,2022,Big Sky,Big Sky
CSUN v E WASH 19-Nov-2021,17:00,RegularSeason,0,483,2022,Big West,Big Sky
N COLO v E WASH 10-Mar-2022,22:00,ConferenceChampionship,1,2022,2022,Big Sky,Big Sky
E WASH v UC DAV 17-Dec-2022,16:00,RegularSeason,0,572,2023,Big Sky,Big West
SAC ST v E WASH 26-Feb-2022,22:00,RegularSeason,0,741,2022,Big Sky,Big Sky
E WASH v NAU 03-Mar-2022,21:00,RegularSeason,0,1182,2022,Big Sky,Big Sky
E WASH v NAU 16-Feb-2023,21:00,RegularSeason,0,2010,2023,Big Sky,Big Sky
E WASH v SAC ST 20-Jan-2022,21:00,RegularSeason,0,1075,2022,Big Sky,Big Sky
E WASH v PORTST 05-Mar-2022,17:00,RegularSeason,0,1621,2022,Big Sky,Big Sky
S UTAH v E WASH 05-Feb-2022,21:00,RegularSeason,0,1876,2022,Big Sky,Big Sky
N COLO v E WASH 24-Feb-2022,20:00,RegularSeason,0,1004,2022,Big Sky,Big Sky
E WASH v MONT 16-Jan-2023,21:00,RegularSeason,0,2244,2023,Big Sky,Big Sky
E WASH v N COLO 22-Jan-2022,17:00,RegularSeason,0,1102,2022,Big Sky,Big Sky
E WASH v WASHST 21-Nov-2022,21:00,RegularSeason,1,5224,2023,Big Sky,Pac-12
NAU v E WASH 21-Jan-2023,16:00,RegularSeason,0,790,2023,Big Sky,Big Sky
MONT v E WASH 29-Jan-2022,21:00,RegularSeason,0,3882,2022,Big Sky,Big Sky
N COLO v E WASH 19-Jan-2023,20:00,RegularSeason,0,1295,2023,Big Sky,Big Sky
ELON v UNCW 04-Jan-2023,19:00,RegularSeason,0,1852,2023,CAA,CAA
WM&MRY v ELON 23-Feb-2023,19:00,RegularSeason,0,2178,2023,CAA,CAA
DREXEL v ELON 29-Dec-2022,16:00,RegularSeason,0,1033,2023,CAA,CAA
VALPO v ELON 18-Dec-2022,14:00,RegularSeason,0,1057,2023,MVC,CAA
UNCW v ELON 12-Jan-2022,19:00,RegularSeason,0,2595,2022,CAA,CAA
ELON v DREXEL 19-Feb-2022,16:00,RegularSeason,0,2456,2022,CAA,CAA
ELON v C OF C 16-Feb-2023,19:00,RegularSeason,0,1829,2023,CAA,CAA
ELON v WM&MRY 27-Jan-2022,19:00,RegularSeason,0,1585,2022,CAA,CAA
ARK v ELON 21-Dec-2021,19:00,RegularSeason,0,19200,2022,SEC,CAA
DUKE v ELON 18-Dec-2021,16:00,RegularSeason,0,9314,2022,ACC,CAA
ELON v WINTHR 15-Dec-2021,19:00,RegularSeason,0,1256,2022,CAA,Big South
TOWSON v ELON 12-Feb-2022,14:00,RegularSeason,0,1832,2022,CAA,CAA
MONMTH v ELON 18-Feb-2023,14:00,RegularSeason,0,2106,2023,CAA,CAA
ELON v DREXEL 28-Jan-2023,16:00,RegularSeason,0,1911,2023,CAA,CAA
FLA v ELON 09-Nov-2021,20:00,RegularSeason,0,9275,2022,SEC,CAA
ELON v HOFSTR 26-Jan-2023,19:00,RegularSeason,0,1493,2023,CAA,CAA
JAX ST v ELON 22-Nov-2022,19:30,RegularSeason,0,1455,2023,A-Sun,CAA
NOEAST v ELON 26-Feb-2022,12:00,RegularSeason,0,1117,2022,CAA,CAA
NC ST v ELON 19-Nov-2022,13:00,RegularSeason,0,11351,2023,ACC,CAA
UNC G v ELON 30-Nov-2021,19:00,RegularSeason,0,1847,2022,Southern,CAA
ETSU v ELON 11-Nov-2022,20:30,ConferenceChampionship,1,575,2023,Southern,CAA
PRESBY v ELON 15-Dec-2022,12:00,RegularSeason,0,645,2023,Big South,CAA
ETSU v CITDEL 22-Feb-2023,19:00,RegularSeason,0,3478,2023,Southern,Southern
WOFFRD v ETSU 05-Feb-2022,14:00,RegularSeason,0,1118,2022,Southern,Southern
TENN v ETSU 14-Nov-2021,12:00,RegularSeason,0,16564,2022,SEC,Southern
ETSU v WOFFRD 01-Feb-2023,19:00,RegularSeason,0,2469,2023,Southern,Southern
CITDEL v ETSU 11-Jan-2023,19:00,RegularSeason,0,1073,2023,Southern,Southern
KENT v ETSU 24-Nov-2021,20:00,RegularSeason,1,237,2022,MAC,Southern
MERCER v ETSU 25-Jan-2023,19:00,RegularSeason,0,1727,2023,Southern,Southern
MOREST v ETSU 11-Dec-2022,14:00,RegularSeason,0,1565,2023,OVC,Southern
ETSU v SAMFRD 18-Jan-2023,19:00,RegularSeason,0,2894,2023,Southern,Southern
ETSU v WOFFRD 08-Jan-2022,16:00,RegularSeason,0,3708,2022,Southern,Southern
UGA v ETSU 22-Dec-2021,19:00,RegularSeason,0,6418,2022,SEC,Southern
ETSU v APP ST 23-Nov-2022,19:00,RegularSeason,0,3825,2023,Southern,Sun Belt
ETSU v JAX ST 03-Dec-2022,16:00,RegularSeason,0,3205,2023,Southern,A-Sun
UNC G v ETSU 07-Feb-2023,19:00,RegularSeason,0,1476,2023,Southern,Southern
ETSU v MERCER 19-Jan-2022,19:00,RegularSeason,0,3270,2022,Southern,Southern
SAMFRD v ETSU 04-Feb-2023,15:00,RegularSeason,0,2836,2023,Southern,Southern
LSU v ETSU 21-Dec-2022,20:00,RegularSeason,0,9059,2023,SEC,Southern
ETSU v FURMAN 07-Jan-2023,16:00,RegularSeason,0,4136,2023,Southern,Southern
ETSU v MOREST 11-Dec-2021,16:00,RegularSeason,0,2621,2022,Southern,OVC
VMI v ETSU 29-Jan-2022,13:00,RegularSeason,0,2245,2022,Southern,Southern
ETSU v ULL 13-Nov-2022,16:30,ConferenceChampionship,1,1221,2023,Southern,Sun Belt
W CAR v ETSU 15-Feb-2023,19:00,RegularSeason,0,1634,2023,Southern,Southern
MO ST v EVANS 04-Jan-2023,20:00,RegularSeason,0,2567,2023,MVC,MVC
EVANS v ILL ST 23-Jan-2022,14:00,RegularSeason,0,3354,2022,MVC,MVC
S ALA v EVANS 25-Nov-2022,18:30,RegularSeason,1,219,2023,Sun Belt,MVC
BRAD v EVANS 11-Jan-2023,20:00,RegularSeason,0,3905,2023,MVC,MVC
FAIR v EVANS 27-Nov-2022,19:30,RegularSeason,1,223,2023,MAAC,MVC
VALPO v EVANS 03-Mar-2022,21:30,RegularSeason,1,2904,2022,MVC,MVC
EVANS v VERMNT 23-Nov-2021,11:00,RegularSeason,1,337,2022,MVC,AEC
EVANS v IND ST 10-Feb-2022,19:00,RegularSeason,0,3177,2022,MVC,MVC
EVANS v MO ST 12-Feb-2023,14:00,RegularSeason,0,4412,2023,MVC,MVC
EVANS v ROBMOR 26-Nov-2022,17:00,RegularSeason,1,285,2023,MVC,Horizon
MURRAY v EVANS 18-Feb-2023,16:00,RegularSeason,0,5437,2023,MVC,MVC
RICE v EVANS 22-Nov-2021,11:00,RegularSeason,1,435,2022,CUSA,MVC
MIA OH v EVANS 07-Nov-2022,20:30,RegularSeason,0,2018,2023,MAC,MVC
N IOWA v EVANS 02-Jan-2022,14:00,RegularSeason,0,1587,2022,MVC,MVC
EVANS v MURRAY 01-Jan-2023,14:00,RegularSeason,0,5723,2023,MVC,MVC
SMU v EVANS 19-Nov-2022,15:00,RegularSeason,0,0,2023,AAC,MVC
BRAD v EVANS 12-Jan-2022,20:00,RegularSeason,0,3606,2022,MVC,MVC
EVANS v CAMPBL 07-Dec-2022,20:00,RegularSeason,0,3824,2023,MVC,Big South
EVANS v SIU 01-Dec-2021,19:00,RegularSeason,0,3318,2022,MVC,MVC
ILL ST v EVANS 21-Jan-2022,19:00,RegularSeason,0,2721,2022,MVC,MVC
N IOWA v EVANS 03-Dec-2022,14:00,RegularSeason,0,2983,2023,MVC,MVC
EVANS v MO ST 26-Feb-2022,17:00,RegularSeason,0,3696,2022,MVC,MVC
FAIR v MTSTMY 12-Feb-2023,14:00,RegularSeason,0,1957,2023,MAAC,MAAC
XAVIER v FAIR 15-Nov-2022,21:00,RegularSeason,0,9624,2023,Big East,MAAC
IONA v FAIR 20-Feb-2022,13:00,RegularSeason,0,2594,2022,MAAC,MAAC
SACHRT v FAIR 20-Nov-2021,20:00,RegularSeason,0,3873,2022,NEC,MAAC
QUINN v FAIR 03-Feb-2023,19:00,RegularSeason,0,3519,2023,MAAC,MAAC
WM&MRY v FAIR 12-Dec-2021,13:00,RegularSeason,0,1673,2022,CAA,MAAC
UNH v FAIR 11-Nov-2022,13:00,RegularSeason,0,682,2023,AEC,MAAC
FAIR v RIDER 03-Mar-2022,19:30,RegularSeason,0,1411,2022,MAAC,MAAC
FAIR v CANISI 14-Feb-2022,19:00,RegularSeason,0,1041,2022,MAAC,MAAC
MARIST v FAIR 23-Jan-2022,14:00,RegularSeason,0,1024,2022,MAAC,MAAC
FAIR v LOY MD 28-Nov-2021,14:00,RegularSeason,0,1329,2022,MAAC,Patriot
FAIR v STONY 24-Nov-2021,14:00,RegularSeason,0,1179,2022,MAAC,AEC
NIAGRA v FAIR 05-Dec-2021,13:00,RegularSeason,0,607,2022,MAAC,MAAC
TOWSON v FAIR 25-Nov-2022,16:00,RegularSeason,1,331,2023,CAA,MAAC
RIDER v FAIR 28-Jan-2022,19:00,RegularSeason,0,1362,2022,MAAC,MAAC
FAIR v SIENA 06-Feb-2022,14:00,RegularSeason,0,2149,2022,MAAC,MAAC
FDU v FAIR 15-Dec-2021,19:00,RegularSeason,0,459,2022,NEC,MAAC
FAIR v MONMTH 20-Jan-2022,19:30,RegularSeason,0,1492,2022,MAAC,MAAC
WAKE v FAIR 07-Nov-2022,20:00,RegularSeason,0,5335,2023,ACC,MAAC
UMASS v FAIR 19-Dec-2021,13:00,RegularSeason,0,1322,2022,A-10,MAAC
FAIR v IONA 11-Jan-2022,14:00,RegularSeason,0,1647,2022,MAAC,MAAC
MANHAT v FAIR 27-Feb-2022,14:00,RegularSeason,0,478,2022,MAAC,MAAC
FAU v W KY 28-Jan-2023,16:00,RegularSeason,0,3012,2023,CUSA,CUSA
FAU v DET 19-Nov-2022,18:00,RegularSeason,0,1420,2023,CUSA,Horizon
FAU v BRYANT 17-Nov-2022,19:00,RegularSeason,0,1452,2023,CUSA,AEC
FAU v UT MAR 19-Nov-2021,18:00,RegularSeason,0,1064,2022,CUSA,OVC
UAB v FAU 15-Jan-2022,16:00,RegularSeason,0,3456,2022,CUSA,CUSA
HIGHPT v FAU 21-Dec-2021,19:00,RegularSeason,0,2216,2022,Big South,CUSA
ODU v FAU 24-Feb-2022,19:00,RegularSeason,0,4376,2022,CUSA,CUSA
FAU v S MISS 05-Feb-2022,16:00,RegularSeason,0,1366,2022,CUSA,CUSA
MISS v FAU 11-Nov-2022,19:00,RegularSeason,0,5974,2023,SEC,CUSA
FAU v NO TEX 17-Feb-2022,19:00,RegularSeason,0,1774,2022,CUSA,CUSA
FIU v FAU 03-Mar-2022,19:00,RegularSeason,0,3763,2022,CUSA,CUSA
UTEP v FAU 27-Jan-2022,21:00,RegularSeason,0,4458,2022,CUSA,CUSA
N MEX v FAU 10-Nov-2021,21:00,RegularSeason,0,8553,2022,MWC,CUSA
W KY v FAU 16-Jan-2023,19:00,RegularSeason,0,5206,2023,CUSA,CUSA
N COLO v FAU 20-Mar-2022,13:30,NIT,1,0,2022,Big Sky,CUSA
MIDTEN v FAU 16-Feb-2023,19:00,RegularSeason,0,3402,2023,CUSA,CUSA
FLA v FAU 14-Nov-2022,19:00,RegularSeason,0,7180,2023,SEC,CUSA
FAU v LATECH 03-Feb-2022,19:00,RegularSeason,0,1683,2022,CUSA,CUSA
FAU v RICE 09-Feb-2023,19:00,RegularSeason,0,3027,2023,CUSA,CUSA
UTSA v FAU 29-Jan-2022,14:00,RegularSeason,0,1129,2022,CUSA,CUSA
NO TEX v FAU 29-Dec-2022,20:00,RegularSeason,0,3808,2023,CUSA,CUSA
FAU v FIU 05-Mar-2022,14:00,RegularSeason,0,2027,2022,CUSA,CUSA
FAU v UTSA 23-Feb-2023,19:00,RegularSeason,0,3049,2023,CUSA,CUSA
STJOES v FDU 03-Dec-2022,13:00,RegularSeason,0,1162,2023,A-10,NEC
FDU v STFRBK 21-Jan-2022,19:00,RegularSeason,0,140,2022,NEC,NEC
FDU v SACHRT 12-Feb-2022,13:00,RegularSeason,0,375,2022,NEC,NEC
FDU v LIU BK 23-Jan-2022,19:00,RegularSeason,0,107,2022,NEC,NEC
FDU v SACHRT 20-Jan-2023,19:00,RegularSeason,0,276,2023,NEC,NEC
LOYCHI v FDU 07-Nov-2022,20:00,RegularSeason,0,3609,2023,A-10,NEC
FDU v LIU BK 07-Jan-2023,13:00,RegularSeason,0,548,2023,NEC,NEC
LIU BK v FDU 09-Feb-2023,19:00,RegularSeason,0,275,2023,NEC,NEC
STFRBK v FDU 05-Jan-2023,13:00,RegularSeason,0,225,2023,NEC,NEC
FDU v MANHAT 13-Nov-2022,17:00,RegularSeason,0,336,2023,NEC,MAAC
ST PTR v FDU 27-Nov-2022,14:00,RegularSeason,0,532,2023,MAAC,NEC
COLUMB v FDU 09-Dec-2022,19:00,RegularSeason,0,527,2023,Ivy,NEC
FDU v QUENNC 22-Dec-2022,19:00,RegularSeason,0,950,2023,NEC,A-Sun
SIUE v FDU 18-Nov-2022,19:30,RegularSeason,1,173,2023,OVC,NEC
FDU v C CONN 30-Jan-2022,13:00,RegularSeason,0,519,2022,NEC,NEC
SETON v FDU 10-Nov-2021,19:00,RegularSeason,0,8223,2022,Big East,NEC
FDU v VMI 20-Nov-2022,16:30,RegularSeason,1,132,2023,NEC,Southern
SACHRT v FDU 15-Jan-2022,14:00,RegularSeason,0,413,2022,NEC,NEC
LONGWD v FDU 19-Nov-2022,17:00,RegularSeason,0,1321,2023,Big South,NEC
LIU BK v FDU 26-Feb-2022,14:00,RegularSeason,0,524,2022,NEC,NEC
JVILLE v FGCU 08-Jan-2022,18:00,RegularSeason,0,1024,2022,A-Sun,A-Sun
NO FLA v FGCU 09-Feb-2023,19:00,RegularSeason,0,1589,2023,A-Sun,A-Sun
FGCU v FIU 04-Dec-2022,18:00,RegularSeason,0,2033,2023,A-Sun,CUSA
FGCU v USC 16-Nov-2021,18:00,RegularSeason,0,4509,2022,A-Sun,Pac-12
FGCU v LIBRTY 15-Jan-2022,19:00,RegularSeason,0,2358,2022,A-Sun,A-Sun
FGCU v URI 23-Nov-2021,19:00,RegularSeason,0,2231,2022,A-Sun,A-10
FGCU v NO FLA 07-Jan-2023,19:00,RegularSeason,0,2375,2023,A-Sun,A-Sun
QUENNC v FGCU 26-Jan-2023,19:00,RegularSeason,0,403,2023,A-Sun,A-Sun
LOYCHI v FGCU 13-Nov-2021,14:00,RegularSeason,0,3239,2022,MVC,A-Sun
FGCU v STETSN 12-Feb-2022,16:00,RegularSeason,0,2369,2022,A-Sun,A-Sun
FGCU v SE LA 27-Nov-2021,19:00,RegularSeason,0,1857,2022,A-Sun,Southland
FGCU v MERCER 10-Dec-2022,19:00,RegularSeason,0,2103,2023,A-Sun,Southern
FGCU v N ALA 09-Feb-2022,19:30,RegularSeason,0,1945,2022,A-Sun,A-Sun
BELLAR v FGCU 03-Mar-2022,19:00,ConferenceChampionship,0,1593,2022,A-Sun,A-Sun
FGCU v DART 04-Dec-2021,19:00,RegularSeason,0,1910,2022,A-Sun,Ivy
LIBRTY v FGCU 28-Jan-2023,19:00,RegularSeason,0,4007,2023,A-Sun,A-Sun
USD v FGCU 09-Nov-2022,22:00,RegularSeason,0,956,2023,WCC,A-Sun
FGCU v E KY 27-Jan-2022,17:00,RegularSeason,0,2234,2022,A-Sun,A-Sun
FGCU v MERCER 19-Dec-2021,14:00,RegularSeason,0,1711,2022,A-Sun,Southern
FGCU v NO FLA 05-Jan-2022,19:30,RegularSeason,0,1830,2022,A-Sun,A-Sun
KENSAW v FGCU 13-Jan-2022,16:30,RegularSeason,0,628,2022,A-Sun,A-Sun
FIU v MARSH 20-Jan-2022,19:00,RegularSeason,0,0,2022,CUSA,CUSA
FIU v MARSH 08-Mar-2022,19:30,ConferenceChampionship,1,0,2022,CUSA,CUSA
FIU v FGCU 01-Dec-2021,19:00,RegularSeason,0,446,2022,CUSA,A-Sun
FIU v W KY 22-Jan-2022,19:00,RegularSeason,0,2712,2022,CUSA,CUSA
W KY v FIU 14-Jan-2023,19:00,RegularSeason,0,4743,2023,CUSA,CUSA
FIU v INCWRD 21-Dec-2022,19:00,RegularSeason,0,0,2023,CUSA,Southland
FIU v UAB 07-Jan-2023,19:00,RegularSeason,0,1152,2023,CUSA,CUSA
FIU v LATECH 09-Feb-2023,19:00,RegularSeason,0,1170,2023,CUSA,CUSA
UTSA v FIU 27-Jan-2022,20:00,RegularSeason,0,801,2022,CUSA,CUSA
FIU v CHAR 05-Jan-2023,19:00,RegularSeason,0,819,2023,CUSA,CUSA
UAB v FIU 04-Feb-2023,16:00,RegularSeason,0,5318,2023,CUSA,CUSA
FIU v E WASH 27-Nov-2022,18:00,RegularSeason,0,310,2023,CUSA,Big Sky
FIU v MIDTEN 17-Feb-2022,19:00,RegularSeason,0,2783,2022,CUSA,CUSA
FIU v E MICH 30-Nov-2022,19:00,RegularSeason,0,1150,2023,CUSA,MAC
JAX ST v FIU 15-Dec-2021,19:00,RegularSeason,0,515,2022,A-Sun,CUSA
FIU v CHAR 07-Feb-2022,17:00,RegularSeason,0,1364,2022,CUSA,CUSA
FIU v NO FLA 28-Nov-2021,12:00,RegularSeason,0,223,2022,CUSA,A-Sun
UTEP v FIU 19-Jan-2023,21:00,RegularSeason,0,3648,2023,CUSA,CUSA
FL A&M v MS VAL 16-Jan-2023,17:00,RegularSeason,0,1435,2023,SWAC,SWAC
FL A&M v PV A&M 07-Feb-2022,19:30,RegularSeason,0,2087,2022,SWAC,SWAC
UGA v FL A&M 02-Dec-2022,19:00,RegularSeason,0,6673,2023,SEC,SWAC
FL A&M v JACKST 11-Feb-2023,16:15,RegularSeason,0,1777,2023,SWAC,SWAC
MIAMI v FL A&M 15-Nov-2022,19:00,RegularSeason,0,4339,2023,ACC,SWAC
GRAMB v FL A&M 09-Jan-2023,21:00,RegularSeason,0,1362,2023,SWAC,SWAC
FL A&M v SOUTHR 08-Jan-2022,16:00,RegularSeason,0,0,2022,SWAC,SWAC
OREGN v FL A&M 07-Nov-2022,22:00,RegularSeason,0,5897,2023,Pac-12,SWAC
UK v FL A&M 21-Dec-2022,19:00,RegularSeason,0,20266,2023,SEC,SWAC
BECOOK v FL A&M 03-Jan-2022,19:30,RegularSeason,0,176,2022,SWAC,SWAC
FL A&M v FGCU 07-Dec-2021,19:00,RegularSeason,0,2313,2022,SWAC,A-Sun
FL A&M v JACKST 24-Jan-2022,19:30,RegularSeason,0,0,2022,SWAC,SWAC
ORE ST v FL A&M 11-Nov-2022,21:00,RegularSeason,0,4778,2023,Pac-12,SWAC
MIAMI v FL A&M 21-Nov-2021,20:00,RegularSeason,0,3175,2022,ACC,SWAC
LOUIS v FL A&M 17-Dec-2022,14:00,RegularSeason,0,11736,2023,ACC,SWAC
FL A&M v ALCORN 22-Jan-2022,15:00,RegularSeason,0,2169,2022,SWAC,SWAC
GRAMB v FL A&M 26-Feb-2022,15:30,RegularSeason,0,2971,2022,SWAC,SWAC
FL A&M v ALCORN 13-Feb-2023,20:00,RegularSeason,0,1443,2023,SWAC,SWAC
OHIOST v FLA 24-Nov-2021,20:30,RegularSeason,1,3500,2022,Big Ten,SEC
FLA v USF 18-Dec-2021,13:00,RegularSeason,1,0,2022,SEC,AAC
FLA v STONY 22-Dec-2021,14:00,RegularSeason,0,8063,2022,SEC,AEC
VANDY v FLA 01-Mar-2022,20:30,RegularSeason,0,6558,2022,SEC,SEC
FLA v TX SOU 06-Dec-2021,18:00,RegularSeason,0,7623,2022,SEC,SWAC
WVU v FLA 27-Nov-2022,20:30,RegularSeason,1,0,2023,Big 12,SEC
CAL v FLA 22-Nov-2021,20:30,RegularSeason,1,3500,2022,Pac-12,SEC
XAVIER v FLA 20-Mar-2022,12:00,NIT,0,3437,2022,Big East,SEC
FLA v TX A&M 04-Jan-2023,19:00,RegularSeason,0,7023,2023,SEC,SEC
FLA v AUBURN 19-Feb-2022,14:00,RegularSeason,0,11255,2022,SEC,SEC
FLA v UK 05-Mar-2022,14:00,RegularSeason,0,9788,2022,SEC,SEC
UK v FLA 12-Feb-2022,16:00,RegularSeason,0,20383,2022,SEC,SEC
MIZZOU v FLA 02-Feb-2022,15:00,RegularSeason,0,0,2022,SEC,SEC
LSU v FLA 10-Jan-2023,19:00,RegularSeason,0,9159,2023,SEC,SEC
FLA v IONA 16-Mar-2022,20:00,NIT,0,3023,2022,SEC,MAAC
FLA v FL A&M 30-Nov-2022,20:00,RegularSeason,0,6515,2023,SEC,SWAC
FLA v VANDY 11-Feb-2023,15:30,RegularSeason,0,10024,2023,SEC,SEC
FLA v MISS 15-Feb-2023,18:30,RegularSeason,0,7464,2023,SEC,SEC
FLA v UGA 07-Jan-2023,13:00,RegularSeason,0,9077,2023,SEC,SEC
FLA v MIZZOU 14-Jan-2023,15:30,RegularSeason,0,9301,2023,SEC,SEC
FLA v TROY 28-Nov-2021,12:00,RegularSeason,0,8875,2022,SEC,Sun Belt
FLA v KENSAW 11-Nov-2022,19:00,RegularSeason,0,9072,2023,SEC,A-Sun
STJOHN v FORDHM 05-Dec-2021,19:00,RegularSeason,0,3951,2022,Big East,A-10
FORDHM v VCU 15-Feb-2022,19:00,RegularSeason,0,876,2022,A-10,A-10
FORDHM v VMI 22-Dec-2022,12:00,RegularSeason,0,0,2023,A-10,Southern
G WASH v FORDHM 30-Jan-2022,12:00,RegularSeason,0,1007,2022,A-10,A-10
VCU v FORDHM 18-Feb-2023,14:30,RegularSeason,0,7637,2023,A-10,A-10
TULANE v FORDHM 03-Dec-2022,11:30,RegularSeason,0,1383,2023,AAC,A-10
DUQSNE v FORDHM 12-Feb-2022,17:30,RegularSeason,0,2002,2022,A-10,A-10
FORDHM v STTHOM 15-Nov-2021,19:00,RegularSeason,0,698,2022,A-10,Summit
FORDHM v DUQSNE 12-Jan-2022,19:00,RegularSeason,0,0,2022,A-10,A-10
UMASS v FORDHM 02-Mar-2022,19:00,RegularSeason,0,2186,2022,A-10,A-10
STBONA v FORDHM 25-Jan-2023,19:00,RegularSeason,0,3854,2023,A-10,A-10
FORDHM v RICH 18-Jan-2022,20:00,RegularSeason,0,0,2022,A-10,A-10
FORDHM v ST LOU 31-Jan-2023,19:00,RegularSeason,0,1800,2023,A-10,A-10
RICE v FORDHM 24-Nov-2021,17:00,RegularSeason,1,150,2022,CUSA,A-10
RICH v FORDHM 05-Feb-2023,12:00,RegularSeason,0,7201,2023,A-10,A-10
FORDHM v HOLYCR 21-Nov-2022,19:00,RegularSeason,0,0,2023,A-10,Patriot
FORDHM v HARV 27-Nov-2022,13:30,RegularSeason,0,1015,2023,A-10,Ivy
FORDHM v UMASS 08-Feb-2023,19:00,RegularSeason,0,1808,2023,A-10,A-10
C CONN v FORDHM 28-Nov-2021,13:00,RegularSeason,0,1128,2022,NEC,A-10
MANHAT v FORDHM 12-Nov-2021,19:00,RegularSeason,0,1675,2022,MAAC,A-10
FRESNO v NEVADA 04-Feb-2022,23:00,RegularSeason,0,5897,2022,MWC,MWC
FRESNO v SAC ST 17-Dec-2022,19:00,RegularSeason,0,3913,2023,MWC,Big Sky
STCLAR v FRESNO 24-Nov-2021,23:00,RegularSeason,1,1700,2022,WCC,MWC
SDSU v FRESNO 03-Mar-2022,23:00,RegularSeason,0,12414,2022,MWC,MWC
UCSB v FRESNO 11-Nov-2022,17:00,RegularSeason,1,121,2023,Big West,MWC
WYO v FRESNO 31-Jan-2023,22:00,RegularSeason,0,3950,2023,MWC,MWC
FRESNO v WYO 06-Feb-2022,19:00,RegularSeason,0,6017,2022,MWC,MWC
UTAH v FRESNO 21-Dec-2021,19:00,RegularSeason,0,7673,2022,Pac-12,MWC
FRESNO v SDSU 19-Feb-2022,22:00,RegularSeason,0,7261,2022,MWC,MWC
UNLV v FRESNO 14-Jan-2022,23:00,RegularSeason,0,4976,2022,MWC,MWC
FRESNO v CSUN 04-Dec-2021,19:00,RegularSeason,0,3762,2022,MWC,Big West
FRESNO v SJSU 11-Jan-2022,22:00,RegularSeason,0,2579,2022,MWC,MWC
N MEX v FRESNO 25-Jan-2022,21:00,RegularSeason,0,8033,2022,MWC,MWC
FRESNO v USD 01-Dec-2021,22:00,RegularSeason,0,3132,2022,MWC,WCC
SDSU v FRESNO 10-Mar-2022,23:30,ConferenceChampionship,1,0,2022,MWC,MWC
FRESNO v SJSU 07-Feb-2023,22:00,RegularSeason,0,5090,2023,MWC,MWC
AIRFOR v FRESNO 21-Feb-2023,21:00,RegularSeason,0,847,2023,MWC,MWC
FRESNO v N MEX 03-Jan-2023,23:00,RegularSeason,0,4868,2023,MWC,MWC
CAL v FRESNO 28-Nov-2021,21:00,RegularSeason,0,3857,2022,Pac-12,MWC
VANDY v FRESNO 24-Nov-2022,22:00,RegularSeason,1,621,2023,SEC,MWC
FRESNO v NEVADA 24-Feb-2023,23:00,RegularSeason,0,5107,2023,MWC,MWC
UC IRV v FRESNO 03-Dec-2022,21:00,RegularSeason,0,2120,2023,Big West,MWC
FSU v PITT 09-Feb-2022,21:00,RegularSeason,0,6891,2022,ACC,ACC
S CAR v FSU 12-Dec-2021,12:00,RegularSeason,1,1523,2022,SEC,ACC
FSU v LIPSCO 15-Dec-2021,21:00,RegularSeason,0,5027,2022,ACC,A-Sun
FSU v N DAME 21-Dec-2022,20:30,RegularSeason,0,6394,2023,ACC,ACC
FSU v PITT 11-Feb-2023,12:00,RegularSeason,0,5845,2023,ACC,ACC
LMU v FSU 21-Nov-2021,17:30,RegularSeason,1,0,2022,WCC,ACC
STAN v FSU 25-Nov-2022,13:30,RegularSeason,1,1108,2023,Pac-12,ACC
FSU v STETSN 07-Nov-2022,19:00,RegularSeason,0,6729,2023,ACC,A-Sun
FSU v LOUIS 08-Jan-2022,20:00,RegularSeason,0,9527,2022,ACC,ACC
FSU v DUKE 18-Jan-2022,21:00,RegularSeason,0,11500,2022,ACC,ACC
CLEM v FSU 02-Feb-2022,19:00,RegularSeason,0,6578,2022,ACC,ACC
FSU v MIAMI 11-Jan-2022,20:00,RegularSeason,0,10339,2022,ACC,ACC
FSU v SYR 09-Mar-2022,12:00,ConferenceChampionship,1,0,2022,ACC,ACC
FSU v SC UPS 13-Dec-2022,20:30,RegularSeason,0,4741,2023,ACC,Big South
FSU v TULANE 17-Nov-2021,20:00,RegularSeason,0,9030,2022,ACC,AAC
MIAMI v FSU 22-Jan-2022,14:00,RegularSeason,0,7972,2022,ACC,ACC
FSU v WAKE 05-Feb-2022,12:00,RegularSeason,0,10089,2022,ACC,ACC
PITT v FSU 21-Jan-2023,15:00,RegularSeason,0,10390,2023,ACC,ACC
FSU v BU 24-Nov-2021,19:00,RegularSeason,0,6670,2022,ACC,Patriot
FSU v SYR 04-Dec-2021,16:00,RegularSeason,0,9808,2022,ACC,ACC
